#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d21707e1020060dd781546c7fcc1b427 -            633   3.8e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 97b0f75842dada140bbb12d13f1b2078 -           1272   1.2e-31   96.3   0.1   1   1   3.1e-31   3.1e-31   94.9   0.1    11   223    95   293    77   293 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 83a53de2e75e079ab7d2f736e453b82c -           1206   1.5e-31   95.9   0.0   1   1   3.9e-31   3.9e-31   94.6   0.0    13   223   113   321   103   321 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fb5d89c59b72568de45d361018484317 -           1233   1.8e-28   85.8   0.0   1   1   3.2e-28   3.2e-28   85.1   0.0    20   223    78   275    60   275 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8be5c390b87c632c58f04f6918be730f -           1160   8.6e-34  103.3   0.0   1   1   5.2e-33   5.2e-33  100.7   0.0     7   223    48   250    45   250 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 36f05cba1096c868e097aa3c13ac9495 -            699   9.4e-32   96.6   0.0   1   1   1.7e-31   1.7e-31   95.8   0.0     9   223    76   279    66   279 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d8ac33626c0b12a42dc8b440116368ae -           1176   5.8e-28   84.2   0.0   1   1   1.4e-27   1.4e-27   82.9   0.0     7   223    48   250    42   250 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9666a7295e24f5b46f1436316e613e2b -           1177   6.7e-34  103.6   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 727aab54da9eb064e7df635154692bfa -           1155   3.4e-33  101.3   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4061b31fcb217f3002cd7d73730f7be0 -           1154   4.3e-24   71.6   0.2   1   1   4.3e-24   4.3e-24   71.6   0.2    11   223    76   284    62   284 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9d46d50dbbe84d380ed4e16eef715b6b -            626   4.4e-33  100.9   0.2   1   1   7.1e-33   7.1e-33  100.3   0.2     8   222    61   262    53   263 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3e451fb33798307aa8f042575a0c600c -           1166   3.5e-29   88.2   0.0   1   1   2.2e-28   2.2e-28   85.6   0.0    20   223    59   245    46   245 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 41fc7428ebb3163401311b473e0b39e9 -            601   3.1e-37  114.5   1.4   1   1   5.9e-37   5.9e-37  113.6   1.4     7   223    43   247    36   247 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e2e269417d350ff8c40ae9d2f40cb3fc -            633   9.6e-34  103.1   0.4   1   1   1.4e-33   1.4e-33  102.6   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d68755b9a081029021533f36302dc1a1 -           1150   2.6e-24   72.3   0.0   1   1     5e-24     5e-24   71.3   0.0     9   222    86   292    71   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 641e9f8d7f5c0a70e7b306f158ad581d -           1177   3.6e-33  101.3   0.0   1   1     2e-32     2e-32   98.8   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
