#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d5158bc540ac229a35b62f08e71bca04 -            719     4e-34  104.4   0.0   1   1   7.8e-34   7.8e-34  103.4   0.0    14   223    76   279    62   279 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 eb9abce02aa4fd4f67d982038fbbeafc -            719   1.8e-33  102.2   0.0   1   1   3.4e-33   3.4e-33  101.3   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7df21268708dcdde14eace96df5e74bb -            719   7.2e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 67a40188e50e6aa838372f8bd4643efc -            719   7.5e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 eee7910e8c9e8469fa4ee4f5d8b3bc25 -            719   7.8e-34  103.4   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c36c82913ec9d8b314b02f4311719cd8 -            719   7.2e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 87907b4d82a6d7a9de92767d59840472 -            720   7.2e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5ac4e65e8cff8bc5a6f8d1c94c90ee14 -            719   7.8e-34  103.4   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8a233c8d20cb942741da64a771d2a19c -            719   7.1e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cb6c8bcf0f49d54fb5e35fc7b55a91b3 -            719   2.4e-32   98.5   0.0   1   1   4.6e-32   4.6e-32   97.6   0.0    13   223    75   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a8e409416c4a2be4c4209fc293dc875e -            719   1.9e-33  102.2   0.0   1   1   3.5e-33   3.5e-33  101.3   0.0    24   223    86   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d52ac876dfc83492bc6f8779568335ef -            719   7.4e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 826f89061fc1eff62f20b65b5fb0a06d -            719   7.4e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
